Symbol,Resistance,Support,Logged_On,Timeline,Comments
3IINFOLTD,63.96,30.15,13-Jul-24,10,
3MINDIA,40816.35,28531.05,13-Jul-24,10,
AARTIPHARM,663.25,398.9,13-Jul-24,10,
AAVAS,1976.75,1307.1,13-Jul-24,10,
ACE,1700.5,1187.65,13-Jul-24,10,
ACI,701.8,580.3,13-Jul-24,10,
ADANIENSOL,1252.15,918.05,13-Jul-24,10,
ADANIGREEN,2175.15,1662.6,13-Jul-24,10,
ADANIPOWER,875.95,500.35,13-Jul-24,10,
ADSL,157.92,123.22,13-Jul-24,10,
AFFLE,1396,955.2,13-Jul-24,10,
AGI,1091.45,610.45,13-Jul-24,10,
AHLUCONT,1387.85,1054.8,13-Jul-24,10,
AIAENG,4625.8,3547.65,13-Jul-24,10,
AJANTPHARM,2360.55,1644.7,13-Jul-24,10,
AJMERA,887.05,325.35,13-Jul-24,10,
ALKYLAMINE,2747,1802.55,13-Jul-24,10,
ALLCARGO,92.07,60.97,13-Jul-24,10,
ALOKINDS,39.23,16.02,13-Jul-24,10,
AMBER,4615.95,2992.75,13-Jul-24,10,
AMIORG,1390.35,1001.7,13-Jul-24,10,
ANANDRATHI,4322.55,3816.1,13-Jul-24,10,
ANANTRAJ,455.1,281.1,13-Jul-24,10,
ANDHRAPAP,640.85,464.6,13-Jul-24,10,
ANGELONE,3910.2,2121.45,13-Jul-24,10,
APARINDS,9016.15,5142.15,13-Jul-24,10,
APLAPOLLO,1733.25,1312.2,13-Jul-24,10,
APOLLO,148.3,93.42,13-Jul-24,10,
ARE&M,1745.5,732.75,13-Jul-24,10,
ARMANFIN,2351.6,1690.45,13-Jul-24,10,
ARVIND,403.9,239.92,13-Jul-24,10,
ASHOKA,248.86,140.75,13-Jul-24,10,
ASTEC,1475.5,1029.7,13-Jul-24,10,
ASTERDM,559,309.3,13-Jul-24,10,
ASTRAMICRO,1063.15,507.45,13-Jul-24,10,
ATGL,1191.7,850.55,13-Jul-24,10,
ATULAUTO,813.7,470.05,13-Jul-24,10,
AVANTIFEED,671.35,470.55,13-Jul-24,10,
AVG,646.9,409.2,13-Jul-24,10,
AWL,384,319.25,13-Jul-24,10,
AZAD,2075.35,1251.4,13-Jul-24,10,
BAJAJHIND,44.57,27.45,15-Jul-24,10,
