Symbol,Resistence,Support,Logged On,Timeline,Comments
3IINFOLTD,63.96,30.15,03-Jul-24,10,-
3MINDIA,40816.35,28409.40,03-Jul-24,10,Monthly Position
AARTIPHARM,663.25,398.90,03-Jul-24,10,-
AAVAS,1983.40,1455.90,03-Jul-24,10,-
ACE,1700.50,1171.70,03-Jul-24,10,-
ACI,701.80,580.30,04-Jul-24,10,
ADANIENSOL,1252.15,832.60,04-Jul-24,10,
ADANIGREEN,2175.15,1539.05,04-Jul-24,10,
ADANIPOWER,899.40,500.35,04-Jul-24,10,
ADSL,157.92,123.22,04-Jul-24,10,
AFFLE,1396.00,955.20,04-Jul-24,10,
AGI,1091.45,610.45,04-Jul-24,10,
AHLUCONT,1387.85,1016.70,04-Jul-24,10,
AIAENG,4625.80,3547.65,04-Jul-24,10,
AJANTPHARM,2360.55,1644.70,04-Jul-24,10,
AJMERA,887.05,325.35,04-Jul-24,10,
ALKYLAMINE,2799.90,1802.55,04-Jul-24,10,
ALLCARGO,98.20,60.97,04-Jul-24,10,
ALOKINDS,39.23,16.02,04-Jul-24,10,
AMBER,4615.95,2992.75,09-Jul-24,10,
